ID	CHARACTER	PINYIN	DOCULECT	PHONETIC_CLASS	KARLGREN_ID	READING	SOURCE
51	綺	qǐ	Old_Chinese	0001	0001b'		Karlgren1954
52	綺	qǐ	Middle_Chinese		0001b'	khjeX	Wikibooks2016a
53	踦	yǐ	Old_Chinese	0001	0001c'		Karlgren1954
54	踦	yǐ	Middle_Chinese		0001c'	khje	Wikibooks2016a
55	踦	yǐ	Middle_Chinese		0001c'	kjeX	Wikibooks2016a
56	踦	yǐ	Middle_Chinese		0001c'	ngjeX	Wikibooks2016a
57	攲	qī	Old_Chinese	0001	0001d'		Karlgren1954
58	攲	qī	Middle_Chinese		0001d'	khje	Wikibooks2016a
59	攲	qī	Middle_Chinese		0001d'	kje	Wikibooks2016a
60	觭	jī	Old_Chinese	0001	0001e'		Karlgren1954
61	觭	jī	Middle_Chinese		0001e'	khje	Wikibooks2016a
62	倚	yǐ	Old_Chinese	0001	0001f'		Karlgren1954
63	倚	yǐ	Middle_Chinese		0001f'	'jeX	Wikibooks2016a
64	椅	yǐ	Old_Chinese	0001	0001g'		Karlgren1954
65	椅	yǐ	Middle_Chinese		0001g'	'je	Wikibooks2016a
66	猗	yī	Old_Chinese	0001	0001h'		Karlgren1954
67	猗	yī	Middle_Chinese		0001h'	'aX	Wikibooks2016a
68	猗	yī	Middle_Chinese		0001h'	'je	Wikibooks2016a
69	猗	yī	Middle_Chinese		0001h'	'jeX	Wikibooks2016a
70	輢	yǐ	Old_Chinese	0001	0001i'		Karlgren1954
71	輢	yǐ	Middle_Chinese		0001i'	'jeX	Wikibooks2016a
72	陭	yì	Old_Chinese	0001	0001j'		Karlgren1954
73	陭	yì	Middle_Chinese		0001j'	'je	Wikibooks2016a
74	我	wǒ	Old_Chinese	0002	0002a		Karlgren1954
75	我	wǒ	Middle_Chinese		0002a	ngaX	Wikibooks2016a
76	俄	é	Old_Chinese	0002	0002h		Karlgren1954
77	俄	é	Middle_Chinese		0002h	nga	Wikibooks2016a
78	娥	é	Old_Chinese	0002	0002i		Karlgren1954
79	娥	é	Middle_Chinese		0002i	nga	Wikibooks2016a
80	峨	é	Old_Chinese	0002	0002k		Karlgren1954
81	峨	é	Middle_Chinese		0002k	nga	Wikibooks2016a
82	睋	é	Old_Chinese	0002	0002l		Karlgren1954
83	睋	é	Middle_Chinese		0002l	nga	Wikibooks2016a
84	莪	é	Old_Chinese	0002	0002m		Karlgren1954
85	莪	é	Middle_Chinese		0002m	nga	Wikibooks2016a
86	誐	é	Old_Chinese	0002	0002n		Karlgren1954
87	誐	é	Middle_Chinese		0002n	nga	Wikibooks2016a
88	餓	è	Old_Chinese	0002	0002o		Karlgren1954
89	餓	è	Middle_Chinese		0002o	ngaH	Wikibooks2016a
90	鵞	é	Old_Chinese	0002	0002p		Karlgren1954
91	鵞	é	Middle_Chinese		0002p	nga	Wikibooks2016a
92	蛾	é	Old_Chinese	0002	0002q		Karlgren1954
93	蛾	é	Middle_Chinese		0002q	nga	Wikibooks2016a
94	蛾	é	Middle_Chinese		0002q	ngjeX	Wikibooks2016a
95	義	yì	Old_Chinese	0002	0002r		Karlgren1954
96	義	yì	Middle_Chinese		0002r	ngjeH	Wikibooks2016a
97	儀	yí	Old_Chinese	0002	0002u		Karlgren1954
98	儀	yí	Middle_Chinese		0002u	ngje	Wikibooks2016a
99	議	yì	Old_Chinese	0002	0002v		Karlgren1954
100	議	yì	Middle_Chinese		0002v	ngjeH	Wikibooks2016a
101	蟻	yǐ	Old_Chinese	0002	0002x		Karlgren1954
102	蟻	yǐ	Middle_Chinese		0002x	ngjeX	Wikibooks2016a
103	羲	xī	Old_Chinese	0002	0002y		Karlgren1954
104	羲	xī	Middle_Chinese		0002y	xje	Wikibooks2016a
105	犧	xī	Old_Chinese	0002	0002z		Karlgren1954
106	犧	xī	Middle_Chinese		0002z	xje	Wikibooks2016a
107	多	duō	Old_Chinese	0003	0003a		Karlgren1954
108	多	duō	Middle_Chinese		0003a	ta	Wikibooks2016a
109	痑	tān	Old_Chinese	0003	0003d		Karlgren1954
110	痑	tān	Middle_Chinese		0003d	taH	Wikibooks2016a
111	痑	tān	Middle_Chinese		0003d	tha	Wikibooks2016a
112	奓	zhā	Old_Chinese	0003	0003e		Karlgren1954
113	奓	zhā	Middle_Chinese		0003e	trae	Wikibooks2016a
114	㗬	zhā	Old_Chinese	0003	0003f		Karlgren1954
115	㗬	zhā	Middle_Chinese		0003f	trhae	Wikibooks2016a
116	恀	shì	Old_Chinese	0003	0003h		Karlgren1954
117	恀	shì	Middle_Chinese		0003h	tseyX	Wikibooks2016a
118	侈	chǐ	Old_Chinese	0003	0003i		Karlgren1954
119	侈	chǐ	Middle_Chinese		0003i	tsyheX	Wikibooks2016a
120	拸	yí	Old_Chinese	0003	0003j		Karlgren1954
121	拸	yí	Middle_Chinese		0003j	trhjeX	Wikibooks2016a
122	哆	duō	Old_Chinese	0003	0003k		Karlgren1954
123	哆	duō	Middle_Chinese		0003k	tsyhaeX	Wikibooks2016a
124	誃	yí	Old_Chinese	0003	0003l		Karlgren1954
125	誃	yí	Middle_Chinese		0003l	drje	Wikibooks2016a
126	誃	yí	Middle_Chinese		0003l	tsyheX	Wikibooks2016a
127	趍	chí	Old_Chinese	0003	0003m		Karlgren1954
128	趍	chí	Middle_Chinese		0003m	drje	Wikibooks2016a
129	陊	duò	Old_Chinese	0003	0003o		Karlgren1954
130	陊	duò	Middle_Chinese		0003o	drjeX	Wikibooks2016a
131	移	yí	Old_Chinese	0003	0003q		Karlgren1954
132	移	yí	Middle_Chinese		0003q	ye	Wikibooks2016a
133	移	yí	Middle_Chinese		0003q	yeH	Wikibooks2016a
134	迻	yí	Old_Chinese	0003	0003r		Karlgren1954
135	迻	yí	Middle_Chinese		0003r	ye	Wikibooks2016a
136	㢋	chǐ	Old_Chinese	0003	0003t		Karlgren1954
137	㢋	chǐ	Middle_Chinese		0003t	tsyheX	Wikibooks2016a
138	它	tā	Old_Chinese	0004	0004a		Karlgren1954
139	它	tā	Middle_Chinese		0004a	tha	Wikibooks2016a
140	㐌	yí	Old_Chinese	0004	0004f		Karlgren1954
141	㐌	yí	Middle_Chinese		0004f	tha	Wikibooks2016a
142	也	yě	Old_Chinese	0004	0004g		Karlgren1954
143	也	yě	Middle_Chinese		0004g	yaeX	Wikibooks2016a
144	佗	tuó	Old_Chinese	0004	0004h		Karlgren1954
145	佗	tuó	Middle_Chinese		0004h	da	Wikibooks2016a
146	佗	tuó	Middle_Chinese		0004h	thaH	Wikibooks2016a
147	拕	tuō	Old_Chinese	0004	0004i		Karlgren1954
148	拕	tuō	Middle_Chinese		0004i	tha	Wikibooks2016a
149	拕	tuō	Middle_Chinese		0004i	thaH	Wikibooks2016a
150	紽	tuó	Old_Chinese	0004	0004j		Karlgren1954
151	紽	tuó	Middle_Chinese		0004j	da	Wikibooks2016a
152	沱	tuó	Old_Chinese	0004	0004k		Karlgren1954
153	沱	tuó	Middle_Chinese		0004k	da	Wikibooks2016a
154	蛇	shé	Old_Chinese	0004	0004l		Karlgren1954
155	蛇	shé	Middle_Chinese		0004l	ye	Wikibooks2016a
156	蛇	shé	Middle_Chinese		0004l	zyae	Wikibooks2016a
157	鉈	shī	Old_Chinese	0004	0004m		Karlgren1954
158	鉈	shī	Middle_Chinese		0004m	syae	Wikibooks2016a
159	匜	yí	Old_Chinese	0004	0004n		Karlgren1954
160	匜	yí	Middle_Chinese		0004n	ye	Wikibooks2016a
161	訑	yí	Old_Chinese	0004	0004q		Karlgren1954
162	訑	yí	Middle_Chinese		0004q	tha	Wikibooks2016a
163	訑	yí	Middle_Chinese		0004q	thwa	Wikibooks2016a
164	訑	yí	Middle_Chinese		0004q	ye	Wikibooks2016a
165	迆	yí	Old_Chinese	0004	0004r		Karlgren1954
166	迆	yí	Middle_Chinese		0004r	ye	Wikibooks2016a
167	酏	yǐ	Old_Chinese	0004	0004s		Karlgren1954
168	酏	yǐ	Middle_Chinese		0004s	ye	Wikibooks2016a
169	池	chí	Old_Chinese	0004	0004t		Karlgren1954
170	池	chí	Middle_Chinese		0004t	drje	Wikibooks2016a
171	竾	chí	Old_Chinese	0004	0004v		Karlgren1954
172	竾	chí	Middle_Chinese		0004v	drje	Wikibooks2016a
173	馳	chí	Old_Chinese	0004	0004x		Karlgren1954
174	馳	chí	Middle_Chinese		0004x	drje	Wikibooks2016a
175	杝	lí	Old_Chinese	0004	0004y		Karlgren1954
176	杝	lí	Middle_Chinese		0004y	drjeX	Wikibooks2016a
177	杝	lí	Middle_Chinese		0004y	ye	Wikibooks2016a
178	阤	zhì	Old_Chinese	0004	0004z		Karlgren1954
179	阤	zhì	Middle_Chinese		0004z	drjeX	Wikibooks2016a
180	弛	chí	Old_Chinese	0004	0004a'		Karlgren1954
181	弛	chí	Middle_Chinese		0004a'	sye	Wikibooks2016a
182	弛	chí	Middle_Chinese		0004a'	syeX	Wikibooks2016a
183	地	de	Old_Chinese	0004	0004b'		Karlgren1954
184	地	de	Middle_Chinese		0004b'	dijH	Wikibooks2016a
185	他	tā	Old_Chinese	0004	0004c'		Karlgren1954
186	他	tā	Middle_Chinese		0004c'	tha	Wikibooks2016a
187	扡	tuō	Old_Chinese	0004	0004d'		Karlgren1954
188	扡	tuō	Middle_Chinese		0004d'	tha	Wikibooks2016a
189	髢	dí	Old_Chinese	0004	0004e'		Karlgren1954
190	髢	dí	Middle_Chinese		0004e'	dejH	Wikibooks2016a
191	拖	tuō	Old_Chinese	0004	0004f'		Karlgren1954
192	拖	tuō	Middle_Chinese		0004f'	daX	Wikibooks2016a
193	拖	tuō	Middle_Chinese		0004f'	tha	Wikibooks2016a
194	拖	tuō	Middle_Chinese		0004f'	thaH	Wikibooks2016a
195	胣	chǐ	Old_Chinese	0004	0004g'		Karlgren1954
196	胣	chǐ	Middle_Chinese		0004g'	yeX	Wikibooks2016a
197	袘	yí	Old_Chinese	0004	0004h'		Karlgren1954
198	袘	yí	Middle_Chinese		0004h'	ye	Wikibooks2016a
199	迤	yí	Old_Chinese	0004	0004i'		Karlgren1954
200	迤	yí	Middle_Chinese		0004i'	ye	Wikibooks2016a
201	㢮	chí	Old_Chinese	0004	0004j'		Karlgren1954
202	㢮	chí	Middle_Chinese		0004j'	syeX	Wikibooks2016a
203	𨠑		Old_Chinese	0004	0004k'		Karlgren1954
204	𨠑		Middle_Chinese		0004k'	ye	Wikibooks2016a
205	施	shī	Old_Chinese	0004	0004l'		Karlgren1954
206	施	shī	Middle_Chinese		0004l'	sye	Wikibooks2016a
207	施	shī	Middle_Chinese		0004l'	yeH	Wikibooks2016a
208	葹	shī	Old_Chinese	0004	0004m'		Karlgren1954
209	葹	shī	Middle_Chinese		0004m'	sye	Wikibooks2016a
210	椸	yí	Old_Chinese	0004	0004n'		Karlgren1954
211	椸	yí	Middle_Chinese		0004n'	ye	Wikibooks2016a
212	陀	tuó	Old_Chinese	0004	0004-		Karlgren1954
213	陀	tuó	Middle_Chinese		0004-	da	Wikibooks2016a
214	舵	duò	Old_Chinese	0004	0004-		Karlgren1954
215	舵	duò	Middle_Chinese		0004-	da	Wikibooks2016a
216	左	zuǒ	Old_Chinese	0005	0005a		Karlgren1954
217	左	zuǒ	Middle_Chinese		0005a	tsaH	Wikibooks2016a
218	左	zuǒ	Middle_Chinese		0005a	tsaX	Wikibooks2016a
219	佐	zuǒ	Old_Chinese	0005	0005e		Karlgren1954
220	佐	zuǒ	Middle_Chinese		0005e	tsaH	Wikibooks2016a
221	差	chà	Old_Chinese	0005	0005f		Karlgren1954
222	差	chà	Middle_Chinese		0005f	tsha	Wikibooks2016a
223	差	chà	Middle_Chinese		0005f	tsrhae	Wikibooks2016a
224	差	chà	Middle_Chinese		0005f	tsrhea	Wikibooks2016a
225	差	chà	Middle_Chinese		0005f	tsrhje	Wikibooks2016a
226	槎	chá	Old_Chinese	0005	0005h		Karlgren1954
227	槎	chá	Middle_Chinese		0005h	dzrae	Wikibooks2016a
228	槎	chá	Middle_Chinese		0005h	dzraeX	Wikibooks2016a
229	瑳	cuō	Old_Chinese	0005	0005i		Karlgren1954
230	瑳	cuō	Middle_Chinese		0005i	tshaX	Wikibooks2016a
231	磋	cuō	Old_Chinese	0005	0005j		Karlgren1954
232	磋	cuō	Middle_Chinese		0005j	tsha	Wikibooks2016a
233	傞	suō	Old_Chinese	0005	0005k		Karlgren1954
234	傞	suō	Middle_Chinese		0005k	sa	Wikibooks2016a
235	傞	suō	Middle_Chinese		0005k	tsha	Wikibooks2016a
236	瘥	chài	Old_Chinese	0005	0005l		Karlgren1954
237	瘥	chài	Middle_Chinese		0005l	dza	Wikibooks2016a
238	瘥	chài	Middle_Chinese		0005l	tsjae	Wikibooks2016a
239	鹺	cuó	Old_Chinese	0005	0005m		Karlgren1954
240	鹺	cuó	Middle_Chinese		0005m	dza	Wikibooks2016a
241	嗟	jiē	Old_Chinese	0005	0005n		Karlgren1954
242	嗟	jiē	Middle_Chinese		0005n	tsjae	Wikibooks2016a
243	髊	cī	Old_Chinese	0005	0005o		Karlgren1954
244	髊	cī	Middle_Chinese		0005o	dzjeH	Wikibooks2016a
245	羅	luó	Old_Chinese	0006	0006a		Karlgren1954
246	羅	luó	Middle_Chinese		0006a	la	Wikibooks2016a
247	蘿	luó	Old_Chinese	0006	0006b		Karlgren1954
248	蘿	luó	Middle_Chinese		0006b	la	Wikibooks2016a
249	戈	gē	Old_Chinese	0007	0007a		Karlgren1954
250	戈	gē	Middle_Chinese		0007a	kwa	Wikibooks2016a
251	划	huà	Old_Chinese	0007	0007e		Karlgren1954
252	划	huà	Middle_Chinese		0007e	hwae	Wikibooks2016a
253	𢦚		Old_Chinese	0007	0007f		Karlgren1954
254	𢦚		Middle_Chinese		0007f	hwaeX	Wikibooks2016a
255	禾	hé	Old_Chinese	0008	0008a		Karlgren1954
256	禾	hé	Middle_Chinese		0008a	hwa	Wikibooks2016a
257	和	hé	Old_Chinese	0008	0008e		Karlgren1954
258	和	hé	Middle_Chinese		0008e	hwa	Wikibooks2016a
259	和	hé	Middle_Chinese		0008e	hwaH	Wikibooks2016a
260	龢	hé	Old_Chinese	0008	0008g		Karlgren1954
261	龢	hé	Middle_Chinese		0008g	hwa	Wikibooks2016a
262	盉	hé	Old_Chinese	0008	0008k		Karlgren1954
263	盉	hé	Middle_Chinese		0008k	hwa	Wikibooks2016a
264	科	kē	Old_Chinese	0008	0008n		Karlgren1954
265	科	kē	Middle_Chinese		0008n	khwa	Wikibooks2016a
266	臥	wò	Old_Chinese	0009	0009a		Karlgren1954
267	臥	wò	Middle_Chinese		0009a	ngwaH	Wikibooks2016a
268	朵	duǒ	Old_Chinese	0010	0010a		Karlgren1954
269	朵	duǒ	Middle_Chinese		0010a	twaX	Wikibooks2016a
270	朶	duǒ	Old_Chinese	0010	0010b		Karlgren1954
271	朶	duǒ	Middle_Chinese		0010b	twaX	Wikibooks2016a
272	隓	huī	Old_Chinese	0011	0011a		Karlgren1954
273	隓	huī	Middle_Chinese		0011a	dwaX	Wikibooks2016a
274	隋	suí	Old_Chinese	0011	0011b		Karlgren1954
275	隋	suí	Middle_Chinese		0011b	sjweH	Wikibooks2016a
276	隋	suí	Middle_Chinese		0011b	thwaX	Wikibooks2016a
277	隋	suí	Middle_Chinese		0011b	xjwieH	Wikibooks2016a
278	隋	suí	Old_Chinese	0011	0011b		Karlgren1954
279	隋	suí	Middle_Chinese		0011b	sjweH	Wikibooks2016a
280	隋	suí	Middle_Chinese		0011b	thwaX	Wikibooks2016a
281	隋	suí	Middle_Chinese		0011b	xjwieH	Wikibooks2016a
282	橢	tuǒ	Old_Chinese	0011	0011c		Karlgren1954
283	橢	tuǒ	Middle_Chinese		0011c	thwaX	Wikibooks2016a
284	嶞	duò	Old_Chinese	0011	0011d		Karlgren1954
285	嶞	duò	Middle_Chinese		0011d	dwaX	Wikibooks2016a
286	墮	duò	Old_Chinese	0011	0011e		Karlgren1954
287	墮	duò	Middle_Chinese		0011e	dwaX	Wikibooks2016a
288	墮	duò	Middle_Chinese		0011e	xjwie	Wikibooks2016a
289	墮	duò	Old_Chinese	0011	0011e		Karlgren1954
290	墮	duò	Middle_Chinese		0011e	dwaX	Wikibooks2016a
291	墮	duò	Middle_Chinese		0011e	xjwie	Wikibooks2016a
292	隳	huī	Old_Chinese	0011	0011f		Karlgren1954
293	隳	huī	Middle_Chinese		0011f	xjwie	Wikibooks2016a
294	隨	suí	Old_Chinese	0011	0011g		Karlgren1954
295	隨	suí	Middle_Chinese		0011g	zjwe	Wikibooks2016a
296	髓	suǐ	Old_Chinese	0011	0011h		Karlgren1954
297	髓	suǐ	Middle_Chinese		0011h	sjweX	Wikibooks2016a
298	瀡	suǐ	Old_Chinese	0011	0011i		Karlgren1954
299	瀡	suǐ	Middle_Chinese		0011i	sjweH	Wikibooks2016a
300	鬌	tuǒ	Old_Chinese	0011	0011j		Karlgren1954
301	鬌	tuǒ	Middle_Chinese		0011j	drjwe	Wikibooks2016a
302	鬌	tuǒ	Middle_Chinese		0011j	dwaX	Wikibooks2016a
303	鬌	tuǒ	Middle_Chinese		0011j	twaX	Wikibooks2016a
304	媠	tuǒ	Old_Chinese	0011	0011k		Karlgren1954
305	媠	tuǒ	Middle_Chinese		0011k	dwaH	Wikibooks2016a
306	媠	tuǒ	Middle_Chinese		0011k	thwaX	Wikibooks2016a
307	惰	duò	Old_Chinese	0011	0011l		Karlgren1954
308	惰	duò	Middle_Chinese		0011l	dwaH	Wikibooks2016a
309	惰	duò	Middle_Chinese		0011l	dwaX	Wikibooks2016a
310	坐	zuò	Old_Chinese	0012	0012a		Karlgren1954
311	坐	zuò	Middle_Chinese		0012a	dzwaX	Wikibooks2016a
312	坐	zuò	Middle_Chinese		0012a	dzwaH	Wikibooks2016a
313	痤	cuó	Old_Chinese	0012	0012b		Karlgren1954
314	痤	cuó	Middle_Chinese		0012b	dzwa	Wikibooks2016a
315	挫	cuò	Old_Chinese	0012	0012c		Karlgren1954
316	挫	cuò	Middle_Chinese		0012c	tswaH	Wikibooks2016a
317	蓌	cuò	Old_Chinese	0012	0012d		Karlgren1954
318	蓌	cuò	Middle_Chinese		0012d	tsraeH	Wikibooks2016a
319	蓌	cuò	Middle_Chinese		0012d	tswaH	Wikibooks2016a
320	剉	cuò	Old_Chinese	0012	0012e		Karlgren1954
321	剉	cuò	Middle_Chinese		0012e	tshwaH	Wikibooks2016a
322	脞	cuǒ	Old_Chinese	0012	0012f		Karlgren1954
323	脞	cuǒ	Middle_Chinese		0012f	tshwaX	Wikibooks2016a
324	髽	zhuā	Old_Chinese	0012	0012g		Karlgren1954
325	髽	zhuā	Middle_Chinese		0012g	tsrwae	Wikibooks2016a
326	𧴪		Old_Chinese	0013	0013a		Karlgren1954
327	𧴪		Middle_Chinese		0013a	swaX	Wikibooks2016a
328	瑣	suǒ	Old_Chinese	0013	0013b		Karlgren1954
329	瑣	suǒ	Middle_Chinese		0013b	swaX	Wikibooks2016a
330	瑣	suǒ	Middle_Chinese		0013b	swaeX	Wikibooks2016a
331	鎖	suǒ	Old_Chinese	0013	0013-		Karlgren1954
332	鎖	suǒ	Middle_Chinese		0013-	swaX	Wikibooks2016a
333	𦝠		Old_Chinese	0014	0014a		Karlgren1954
334	𦝠		Middle_Chinese		0014a	lwa	Wikibooks2016a
335	蠃	luǒ	Old_Chinese	0014	0014b		Karlgren1954
336	蠃	luǒ	Middle_Chinese		0014b	lwaX	Wikibooks2016a
337	羸	léi	Old_Chinese	0014	0014c		Karlgren1954
338	羸	léi	Middle_Chinese		0014c	ljwe	Wikibooks2016a
339	加	jiā	Old_Chinese	0015	0015a		Karlgren1954
340	加	jiā	Middle_Chinese		0015a	kae	Wikibooks2016a
341	枷	jiā	Old_Chinese	0015	0015c		Karlgren1954
342	枷	jiā	Middle_Chinese		0015c	kae	Wikibooks2016a
343	枷	jiā	Middle_Chinese		0015c	kaeH	Wikibooks2016a
344	珈	jiā	Old_Chinese	0015	0015d		Karlgren1954
345	珈	jiā	Middle_Chinese		0015d	kae	Wikibooks2016a
346	駕	jià	Old_Chinese	0015	0015e		Karlgren1954
347	駕	jià	Middle_Chinese		0015e	kaeH	Wikibooks2016a
348	嘉	jiā	Old_Chinese	0015	0015g		Karlgren1954
349	嘉	jiā	Middle_Chinese		0015g	kae	Wikibooks2016a
350	哿	gě	Old_Chinese	0015	0015i		Karlgren1954
351	哿	gě	Middle_Chinese		0015i	kaX	Wikibooks2016a
352	賀	hè	Old_Chinese	0015	0015j		Karlgren1954
353	賀	hè	Middle_Chinese		0015j	haH	Wikibooks2016a
354	伽	jiā	Old_Chinese	0015	0015-		Karlgren1954
355	伽	jiā	Middle_Chinese		0015-	gja	Wikibooks2016a
356	伽	jiā	Middle_Chinese		0015-	(?)	Wikibooks2016a
357	迦	jiā	Old_Chinese	0015	0015-		Karlgren1954
358	迦	jiā	Middle_Chinese		0015-	kja	Wikibooks2016a
359	迦	jiā	Middle_Chinese		0015-	(?)	Wikibooks2016a
360	沙	shā	Old_Chinese	0016	0016a		Karlgren1954
361	沙	shā	Middle_Chinese		0016a	srae	Wikibooks2016a
362	鯊	shā	Old_Chinese	0016	0016d		Karlgren1954
363	鯊	shā	Middle_Chinese		0016d	srae	Wikibooks2016a
364	娑	suō	Old_Chinese	0016	0016e		Karlgren1954
365	娑	suō	Middle_Chinese		0016e	sa	Wikibooks2016a
366	莎	shā	Old_Chinese	0016	0016f		Karlgren1954
367	莎	shā	Middle_Chinese		0016f	srae	Wikibooks2016a
368	莎	shā	Middle_Chinese		0016f	swa	Wikibooks2016a
369	麻	má	Old_Chinese	0017	0017a		Karlgren1954
370	麻	má	Middle_Chinese		0017a	mae	Wikibooks2016a
371	塺	méi	Old_Chinese	0017	0017c		Karlgren1954
372	塺	méi	Middle_Chinese		0017c	maH	Wikibooks2016a
373	麽	me	Old_Chinese	0017	0017d		Karlgren1954
374	麽	me	Middle_Chinese		0017d	maX	Wikibooks2016a
375	摩	mó	Old_Chinese	0017	0017e		Karlgren1954
376	摩	mó	Middle_Chinese		0017e	ma	Wikibooks2016a
377	磨	mó	Old_Chinese	0017	0017f		Karlgren1954
378	磨	mó	Middle_Chinese		0017f	ma	Wikibooks2016a
379	磨	mó	Middle_Chinese		0017f	maH	Wikibooks2016a
380	糜	mí	Old_Chinese	0017	0017g		Karlgren1954
381	糜	mí	Middle_Chinese		0017g	mje	Wikibooks2016a
382	靡	mí	Old_Chinese	0017	0017h		Karlgren1954
383	靡	mí	Middle_Chinese		0017h	mje	Wikibooks2016a
384	靡	mí	Middle_Chinese		0017h	mjeX	Wikibooks2016a
385	麾	huī	Old_Chinese	0017	0017i		Karlgren1954
386	麾	huī	Middle_Chinese		0017i	xjwe	Wikibooks2016a
387	攠	mí	Old_Chinese	0017	0017j		Karlgren1954
388	攠	mí	Middle_Chinese		0017j	mje	Wikibooks2016a
389	魔	mó	Old_Chinese	0017	0017-		Karlgren1954
390	魔	mó	Middle_Chinese		0017-	ma	Wikibooks2016a
391	咼	guō	Old_Chinese	0018	0018a		Karlgren1954
392	咼	guō	Middle_Chinese		0018a	kwaeX	Wikibooks2016a
393	騧	guā	Old_Chinese	0018	0018b		Karlgren1954
394	騧	guā	Middle_Chinese		0018b	kwae	Wikibooks2016a
395	騧	guā	Middle_Chinese		0018b	kwea	Wikibooks2016a
396	蝸	wō	Old_Chinese	0018	0018c		Karlgren1954
397	蝸	wō	Middle_Chinese		0018c	kwae	Wikibooks2016a
398	蝸	wō	Middle_Chinese		0018c	lwa	Wikibooks2016a
399	媧	wā	Old_Chinese	0018	0018d		Karlgren1954
400	媧	wā	Middle_Chinese		0018d	kwae	Wikibooks2016a
401	過	guò	Old_Chinese	0018	0018e		Karlgren1954
402	過	guò	Middle_Chinese		0018e	kwa	Wikibooks2016a
403	過	guò	Middle_Chinese		0018e	kwaH	Wikibooks2016a
404	禍	huò	Old_Chinese	0018	0018f		Karlgren1954
405	禍	huò	Middle_Chinese		0018f	hwaX	Wikibooks2016a
406	旤	huò	Old_Chinese	0018	0018g		Karlgren1954
407	旤	huò	Middle_Chinese		0018g	hwaX	Wikibooks2016a
408	薖	kē	Old_Chinese	0018	0018h		Karlgren1954
409	薖	kē	Middle_Chinese		0018h	khwa	Wikibooks2016a
410	化	huà	Old_Chinese	0019	0019a		Karlgren1954
